DNMT3B,CBX5
ESR1,DDX50
RAB5C,CHM
PRPF4,PRPF8
C2,C6
KRT1,RPSA
LHCGR,PIK3CG
AGA,FAM71E2
WNT4,PASK
PSMB3,PSMB9
GFOD1,POLR1A
NMB,PLCB1
CIRH1A,SARS2
HACE1,RARB
ACTB,XPO1
ESD,RB1
IKBKG,NOTCH1
SLC2A2,STX4
STXBP1,UGT3A2
TBX21,ITK
RYR2,APOC2
SPINT2,OSBPL8
RAD21,CAD
SNCA,AP1B1
SMARCD3,TARDBP
PDGFRB,GAB1
PIK3R2,KITLG
HNF4A,KIF15
FUS,U2AF2
KRT8,HSP90AA1
ZEB2,EHMT1
SHOC2,PLBD2
XRCC4,PNKP
ADRB3,PTH1R
MSH4,NPC1
TAF1,ASCC1
LMNA,LMNB1
COL6A2,MMP13
SMAD2,DNAJA2
SMN1,NPM1
ATP5J2,NDUFS8
PEPD,GBP2
SVIL,ESR1
TCF12,TAL2
SBDS,TYMS
SACS,APOA1
CDC42,SYNE1
GCG,INSL3
IPO9,HSPA9
GRAP,EPOR
ACTB,MLLT4
IKBKG,RPS16
TRIM37,FAM161A
SPTAN1,SHANK1
ABL1,MTOR
LRP6,LRRK2
DDX42,SF3B4
NPHS1,ITGB5
JARID2,GATA4
KCTD15,REN
STAG1,LMNA
SRRM2,CDC73
NSFP1,SLC25A4
NTN1,TRIO
CHM,ARMC8
TP53,ACTA1
RPL29,VHL
PRKCB,STIM1
NOTCH1,TNRC6A
MEN1,FANCD2
MAP3K3,ZBTB16
PRPF4,NOP56
HNRNPD,SF3B4
KRT1,KRT9
RAD21,RPL30
STAT3,CD46
PDGFRB,PTPRE
STUB1,UBE2L3
ZNRF2,ATP1A2
GNB1,OR5AK2
HDAC8,SPC24
HDAC9,RFXANK
RARS2,ZNF695
RAD21,LOC100505503
MLH1,ATAD3A
RPL29,DNAJC3
KAT5,FAS
PHGDH,SNRPA1
FAM177A1,AAGAB
CLTC,AP2A2
SLC25A4,FNBP1
TRAF3,TRAF5
ELAVL1,TRIM2
JUP,DSC2
PTPN4,PRSS1
FLNA,ACTB
PYGM,HKDC1
DYNC1H1,ARF6
TLK1,NBN
CCT5,VCP
CAPN1,TP53
GPR68,KISS1R
YWHAZ,TNFAIP3
PPP3R1,SETD1A
ATP1A3,PCBD1
NCSTN,GPR177;WLS
PIK3R3,TAC3
SLC25A19,RAPSN
PSEN1,UMPS
GNA14,PLCB1
CNTN1,NOTCH1
EIF2S2,PYCR2
FCN1,ELN
GOLPH3L,PCSK9
B2M,PACS1
ESR1,SEC23A
FGFR1,FGF9
TIAM1,EFNB1
PBK,TP53
WHSC1L1,NSD1
HRAS,RNH1
EPS15L1,CHEK2
ARRB2,AVPR2
PSMA3,PSMD1
RBM28,NOL10
CTNNB1,ASH2L
EGFR,S100A9
IQGAP1,TGFBR2
LIMA1,FLNB
HNF1A,NPY2R
DTX4,TBK1
ESR1,CALM3
ABI3,SOS1
RPS10,NFKB2
BMPR1A,ETFB
SMAD4,SMAD4
PPP5C,GSS
TP63,COPS6
FLNB,NEXN
SH3BP5,APOC3
MMP9,CXCL6
EXOC1,TRIO
GRIN2B,UBC
BDKRB2,KISS1R
GNB1,CXCR2
CEP70,CBS
NFKBIA,PTGS2
NCSTN,RPS11
KIAA0368,PSMB4
PTPRK,INSR
HDAC8,NUF2
HNF4A,MDH1
STK36,GLI3
ESR1,MYO6
IRF2BPL,SF3B4
SERTAD3,KRT16
HNF4A,ACVR1
CHAF1A,ATRX
ESR1,SHMT2
PTCH1,PAPLN
APOA1,GSN
YWHAQ,PFN1
BBS4,ACTB
ESR1,EP400
HNF4A,NR1I2
ATP6V1B1,NCSTN
HNF4A,CCDC45
KPNA4,CUL4B
PAX6,VSX2
CCT5,DDR2
PF4V1,CRB1
CUL3,HNRNPM
GRIA1,CACNG8
EIF2B2,EIF2S3
PPARG,NRIP1
CRHR1,INSL3
KRT16,CNOT1
IL2RA,KRAS
APOB,APOB
TP53,MTA1
RBM28,UTP14C
MTHFD1,SNORD19B
MLH1,HDLBP
ACTN4,RPS27
CARM1,SMARCB1
HDAC6,MAPT
PSMD14,PMM2
MYC,APC
RAD21,AHCTF1
HMGCR,VCP
SKI,SIX1
CTNNB1,FGF20
VPS13C,GUF1
DMD,SETX
MTOR,RPL23A
CUL3,PPP3R1
RYR2,PCDH1
PHGDH,RPL4
SOD1,PRPF4
RHOD,SOS1
POLR1A,UTP23
SSR4,RPLP0
EYA4,SIX1
KRT16,ATM
PPP2R5D,ARPC2
SERPINE1,PSMB1
CXCR3,CXCR4
CD4,VCP
RPL10,UPF2
ANGPTL4,MED18
RINT1,NBAS
HNF4A,FEZF2
PMM2,TUBA4A
PLA2G4F,DICER1
GRIN2B,STX1A
STX1A,SNAP29
BUB3,PSMB9
PHB,NDUFS8
KISS1R,NPS
HNF4A,E2F5
CTNNB1,HNF4A
CUL3,SMN2
E4F1,TP53
GNB1,PENK
IKBKG,WWP1
HNF4A,COQ10B
FAS,CD38
PAFAH1B1,CETN2
POLR1A,ATP6V1B2
BMPR1B,XIAP
EP300,SP1
NOTCH1,MCM3
MLH1,PYGB
INSL3,RNF123
KRT16,APOC2
PLEC,SPTAN1
PSMA3,PSMB5
KRT16,ITGA2
ARG1,LARS
EIF6,PMM2
PLCB1,NMUR2
TSG101,CAV1
PHGDH,GDA
RB1,ZBTB16
KHDRBS1,CREBBP
SPINT2,CNTNAP1
PLA2G6,CRLS1
CRYAB,CCDC85B
FYN,HEXA
HNF4A,SMEK1
RBX1,PCSK9
AARS,ASL
ACTA1,NEB
PRKAR2B,VPS13C
IRF1,MMP9
EEF1D,CBS
RAF1,RAP2A
HNF4A,ERBB3
WAS,ARPC2
EMD,PSME1
VAV2,ARHGAP31
FGFR4,PTPN11
COQ5,CASK
TAF1,MECP2
EDA,NOC2L
GRDX,PRNP
PYCRL,ATP6V1B2
SSR4,RPS8
SMARCB1,ETS2
ZNF202,ABCA1
CCK,TBXA2R
SF3B4,DDX17
TP53,ZHX1
GRIN2A,HRAS
ZNF238,POMGNT1
ACVR1B,SMAD3
TRAM1,RPL5
RAMP1,TSHR
CORO1C,GNA11
PTPN11,IPO7
MSH2,HSP90B1
XIAP,XIAP
LRBA,KIF15
PSMD6,PCSK9
MECP2,TFF1
GNB1,CCL25
COPS5,UROS
ESR1,RBBP4
PCBD1,ACIN1
GRIA3,CANX
HNF4A,SUPV3L1
NR1I2,GRM1
TNNI1,TNNT2
MTHFD1,DDX5
DYRK1B,MBP
E2F4,TP53
CUL3,SNRPA1
LPAR6,FASTKD1
MEOX1,PAX3
INS,ATP6V1A
NDUFA6,NDUFS8
CUL3,PCBP2
PLA2G6,LPCAT3
IVD,DBT
RB1,HIF1A
RPLP0P6,RPS19
CREBBP,MED9
COPS5,DYNC1H1
PSMD14,APC
BMPR1A,RAB1A
SCN2B,TNPO3
PKD2,CANX
PSEN1,RHEB
UBB,IKBKG
UFM1,ARHGDIA
PRKAG3,PRKAB2
RAB8B,HSD17B10
STK11,STUB1
CHUK,TRIO
HNF4A,APOA1
TTR,ZNF232
CAV1,LRP6
HTR3C,POMT2
SEC23B,CBS
KDM6A,NKX2-5
RAF1,SPRY2
HRAS,PLCE1
CASR,GALR2
GTF2B,NR5A1
SPECC1L,WNK1
HNF4A,PLD2
NR3C2,DNAJC7
PRKAA1,RAF1
FN1,FLNA
PDE4D,ADCY8
GNB1,NME1
ATP6V1D,ATP6V0A2
SPINT2,KIF14
ICAM3,ZBTB16
MYH7,RAD1
YAP1,RUNX1
NOTCH1,IKZF3
POT1,GAS2L1
IDH3G,SLC25A4
IDS,EXT2
FN1,DNM2
PDE3A,ADCY2
DRD2,PLCB1
KCNMA1,TAGLN
ZBTB24,KRTAP4-2
RHOF,ARHGAP31
YWHAB,CACNA1A
PDLIM5,PDE4D
C9,CDX1
KRT1,KIAA0754
ESR1,CCNT1
HNF4A,RPS19
UBE2D2,VHL
PROK2,GPR65
GRIN1,RPS6KA3
EEA1,ALS2
SRC,USP8
APOB,DERL1
USP9X,MAP3K14
APOA1,APP
PAFAH1B1,ODF2
PDIA3,SMS
NTHL1,EEF1G
KRT14,IGKC
APOB,STOML2
SOD1,THNSL1
PKD2,GOLGA2
SLC4A1,PTPN11
ATAD2,POLR3B
NFYC,POGZ
BID,SQSTM1
SMARCB1,CNTN3
EGFR,SPARCL1
CASP10,DSP
PTEN,INHBE
KRT16,GFAP
AGA,C4orf41
MIR154,DICER1
ADA,ITPA
SLC25A4,CRK
MEF2A,CDON
GPC6,HS3ST3B1
KIF19,COL7A1
LRPPRC,IKBKG
SNX6,EGFR
INS,RPS23
ALAS2,HSPD1
CSNK1D,TUBA1A
CTGF,ACTB
MPV17,MRPL11
SMARCE1,CCT2
HDAC6,TUBA1A
KCNJ2,CACNG4
EP300,HIST1H2AB
IPO5,ATP6V1B2
GGCX,F7
PTK2B,PRKCD
HNF4A,ABCB9
UBC,TBL1XR1
CDC5L,ATR
MSH2,MSH6
EGFR,CALM3
RPL7,RPL5
ESR1,RPL21
HNRNPU,SF3B4
LHCGR,PTGER4
ABCC2,SHANK3
EP300,SMAD5
PINK1,PSMD1
SMC3,HLA-B
PIK3CA,GRIN2B
APOB,VCP
SHFM1,BRCA2
INS,RPL37
SMARCB1,LEFTY2
FBXO5,TPM3
YES1,CSF1R
PNKP,AGTPBP1
RAB11A,CHEK2
CUL3,KBTBD7
TTI1,ATR
KDELR1,RPL5
BMPR1B,DNMT1
ITGB3,NID1
ITCH,SF3B4
MATK,KIT
ESR1,OPA1
PTCH1,PDF
CSF1R,NR0B2
GRIN2B,PRDX2
EIF4G3,RBM28
MYH10,AP2A1
RIOK2,LIPA
ATF4,MTHFD1
IFITM2,STAT1
ADRA1B,GFAP
ACTB,STOM
EP300,KAT2B
VPS4A,CHMP1A
IL5,PIK3CD
CHMP4B,CHAF1B
SHOC2,MRPL48
BRCA1,NDST1
CASK,EPS8
CORO2B,ACTA1
ACTB,GNAS
ACTC1,TPM3
GINS2,MTOR
MAX,SERPINI1
ATP13A2,BNIP3L
TTN,CAPN3
CALCR,FSHR
PIK3CB,PDGFRB
TXNDC5,NPHS1
RRM2B,PYCR1
UBE2I,SLC2A1
BAP1,JMJD6
PRKCD,IBTK
AP2S1,KIF4B
HNF4A,ANXA6
ZBTB16,KRTAP4-12
MC2R,LHCGR
HNF4A,RFC5
RBM28,UTP14A
GPX4,ALOX12B
GRIA3,CACNG2
BRIX1,ATP6V1B2
NOD2,MAP2K6
ALDH18A1,HDAC6
PSEN1,DSG2
SYT1,GRAP2
CAMK2G,SMAD4
GMPPB,RPL10
MAX,RPS19
TTN,SCN5A
SNX13,PAH
BRCA1,STAT3
CASR,CXCL2
EP300,MORF4L1
PRKCH,PTPN11
CHD2,ZMYND11
CEP57,CEP72
COL11A2,MMP14
DHX9,PRPF4
RHOBTB1,OCRL
HNF4A,STAU2
HLA-B,STAT1
LYN,PRKCD
NCOA6,EP300
TRIM33,SMAD4
MIR18A,PTEN
POT1,FAM131B
TBK1,APP
GRIN2B,PLCG1
RPS27,RPL35
CFH,AP1M1
COPS6,SDHA
ARF5,ACADM
ADD1,XIAP
KRT13,SCN5A
COL4A5,SERPINH1
BMPR1B,TTC17
MAPK1,GATA4
NR4A1,RPS6KA3
SMAD2,HOXA13
SHC1,KRT16
PTPN14,YAP1
PYGM,PABPC1
PSEN1,BCL2
C3,PIK3R6
CUL3,RBMX
GLS2,SNTA1
IQGAP1,ACTB
APC,MARK2
STAT3,PDGFRA
HSPA9,MAP3K7
AAAS,U2AF1
KIF21A,UBL4A
FGF10,FGFR3
ANP32D,SETBP1
FMR1,HNRNPF
SMC3,STAG1
SYNCRIP,DYNC1H1
SNCA,SLC6A4
ACTB,CLTC
CUL3,RPL10A
NLRC4,NA
C3,DRD4
SOD1,ME1
EMD,MCM2
BMPR1A,IGSF1
BARD1,HAP1
SOS1,DLG4
RAD21,INCENP
NCSTN,UBC
RAD21,EEF1D
TUBA1A,TBCD
RD3,GNA13
CUL3,CCT8
SNTA1,ADAMTS6
CLCN2,C1orf52
ZNF212,NFKBIA
POLR1A,MRPL2
FIG4,SACM1L
HNRNPU,NONO
PFN1,GRID2IP
CREBBP,MYC
R3HDM1,EYA1
UNC119,NPHP3
RP2,GLMN
GLCE,HS6ST1
VCP,PSAP
GLI3,SHOC2
PPP2R5D,NEK1
PTCH1,CHST12
PAPSS1,APOA1
FABP4,ACTB
AP4E1,YME1L1
PMS2,RUVBL1
GNB1,OR4C15
BARD1,PSMA7
MYH10,AFAP1
ADAM10,PSEN2
RPS6KA3,CREB1
VPS13C,MYO1E
HCK,WAS
CACNA1A,SLC18A3
NCSTN,SLC2A1
IL9,STAT3
CUL3,GLUD1
DIAPH1,RPS3A
MCM2,ATR
ESR1,KIF1A
EXT2,HSPG2
GRIN2B,MAPK3
MYO1C,ACTB
FSHR,PTH2R
RAN,TUBA1A
AGA,KRT10
IGHG1,CRB1
SOS2,SRC
LOC100507047,MAF
MYL3,TNNC1
PPP1CC,RAD21
ADM,GNAS
TNFRSF1A,HADHA
APOE,IQSEC1
CLTC,CLTC
SMC3,TUBB
CHEK2,PYGL
SLC11A2,DUOX2
ARHGDIA,ARHGAP18
CRH,INSL3
YES1,KITLG
RELA,USP9X
TMEM231,FGFR3
NLRC4,UBC
ARID1B,SMARCC1
CCDC149,PRNP
CNR1,ADCY5
FUS,RBM14
ZNF292,APOE
KIAA0101,PSMA3
AR,GRIP1
ACTB,SPECC1
HNF4A,CCDC72
UBC,SMAD3
PIK3CD,INPP4B
CUL3,BCL2
RAP1A,TSC2
CDKN2A,ACTG1
HSPA9,CHUK
TRAPPC4,TRAPPC9
EIF2B2,UBE2H
SMAD3,MAP2K3
PNKP,SLC25A12
ADRA2A,ADCY5
PLA2G4F,SPAST
HNF4A,CYTH2
RUNX1,EP300
GNA12,PLCB1
PNPLA6,ICT1
HIST3H3,RAD21
ADRB2,CAV3
F2RL1,PLCB1
PAFAH1B1,SKA2
C6orf142,LMNA
SMC1A,MIRLET7E
VHL,DNAJA3
IQCB1,MAG
MYC,POMT2
VASN,TGFB2
CREBBP,IFNA4
SUMO1,PEPD
PTPN1,ACTA1
EDNRA,PLCB3
COPS4,TOR1A
UBQLN4,WAC
CREBBP,MYH9
ATM,F7
MATR3,POLR3B
FURIN,PACS1
INSL3,MC1R
IRS1,IKBKG
MSN,ARHGDIA
ABCA1,MPP6
ZC4H2,NHLH1
HDAC8,ING1
MPHOSPH6,TP53
PFKP,PKLR
GNB1,OR14J1
TGFBR1,PREB
PPIP5K1,IRF3
GNL2,ATP6V1B2
EIF5A,VPS13A
CUL3,C1QBP
IKBKG,LPXN
PPP6R1,SLC25A4
EP300,GOLGA2
FXN,SDHB
MAGED1,EP300
SOD1,SMAD2
RPL14,RBM28
TAF9B,TP53
HNF1A,MT1X
YWHAB,ANK2
PRNP,TYMSOS
SMARCE1,UBAP2
SLC25A4,GRAP
CUL3,ERC1
OTUB2,TRAF3
CDC73,C1orf131
RPS6KA3,YBX1
COL4A5,MMP3
KCND2,FLNC
ARSB,CSPG5
SPINT2,LSR
VCP,HNRNPA1
SOS1,CDC37
SPINT2,FNDC3A
HSPA9,SSTR4
CRYAB,LBH
APC,PSMB2
EGFR,SHC1
STXBP2,PHLPP1
HNF4A,GUF1
PDGFRB,TYK2
GCH1,LOC730268
SLC2A1,NPC1
MSH2,EIF4G1
TAZ,CACNA2D1
RRM2B,ME1
RORC,MED1
ARMC1,EPB41L1
VPS8,EIF2B2
TUBA1A,TUBB4B
LBR,TM7SF2
APOC3,APOA5
RBM28,IPO9
SMN1,GEMIN5
CASR,ARHGEF12
CXCR6,POMC
IKBKG,RPLP0P6
BMPR1B,BAMBI
PAFAH1B1,PAFAH1B3
HCRTR2,PLCB1
CUL3,HIST2H2BE
LPAR1,TAC3
IL3RA,PIK3CD
STAT1,FGL2
TP73,HRAS
GNRHR,MLNR
HTR1F,CASR
LZTR1,L3MBTL3
SRRM2,DDX3X
RBM28,TRIP12
ATM,SETX
SDHA,HADHA
KPNA6,CLTC
YTHDC1,EMD
CNR2,GNB1
NCBP1,SMAD4
DICER1,CDC45
POLH,GTPBP2
SMAD2,LAMA5
SOD1,ASCC1
NFKBIA,CHUK
PDGFRB,PLCG1
TGFBR1,ARHGAP31
HNF4A,KIAA0317
GPD1L,CYCS
INSL3,PTGER4
GNB1,OR6C6
GNAO1,GNA11
TREM2,TYROBP
BBS4,BBS9
SNCA,KIAA1191
CUL4A,GLMN
RAB6B,COG6
FMR1,HNRNPAB
MYD88,PRDX1
APOB,SAR1B
UBC,PANK2
SGOL2,ADAM17
RBM28,EIF4G1
RALGPS1,MYO5B
CDK2,HSPA9
TPM3,TTN
KRT15,SMARCE1
ARHGAP32,GRIN2B
GAL,PLCB1
NEDD4L,SERPINF1
CASR,PNOC
SNCA,PELP1
VHL,KAT5
KMT2D,WDR5
TRAF3,MYT1
SYT17,PCSK9
CUL3,EIF4A3
ESR1,RPS11
PPBP,CFB
AP2S1,LOC100507714
UBC,RTEL1
TXNDC11,DUOX2
TP53,EPHA3
HNF4A,ZKSCAN5
UBC,ANKH
SPAST,DDB1
HNF4A,ZNF331
PRKAG2,ATP5H
TP63,ZBTB4
GPT2,GPD1L
TAF1,PMVK
GNB1,CCR9
GNS,CASP7
PAX6,PKNOX1
SRP72,CHAMP1
MAGI1,RPS6KA3
EDNRB,AVPR1B
FKBP1A,GLMN
CUL3,PKP2
RYK,DYNC1H1
BRCA1,TFAP2C
HNF4A,LIPT1
UCHL5,UBE3A
PRKCA,TP53
NSUN2,RPS28
SNCA,MAP2K1
KEAP1,CUL4B
HNF4A,SNX1
PYGM,PRKAG3
VCP,MAPK1
ACTB,P2RX7
HRAS,TEK
CHRNA3,CHRND
SMC1A,SNRNP70
SMC1A,NIPBL
DYNC1H1,HNRNPD
RANBP3,CFH
HNF4A,RAB3C
SSR4,ARF6
BRCA1,TRIM24
CUL3,RPS9
UBE3A,PSMD3
UBE2D4,RNF43
PNPO,ASL
POLR2A,BRCA1
PIR,SOD1
SNW1,RB1
ITPR1,STXBP1
GFPT2,PDHA1
RCAN1,CAPN1
TRADD,KRT16
PLA2G15,CBS
IL23R,STAT3
ROR2,DAZAP2
LOC100509457,PTPN11
RCHY1,KRIT1
ATRX,TOP2A
EIF2B2,DDX1
ABCA1,RXRA
CYTH1,MED13L
ESR1,PIK3R3
CDK8,SMAD3
ATP6V1B1,TFRC
MED13L,MED16
AVPR2,MAPK1
VCP,HSPA5
YWHAG,HSPA9
HEXIM1,EGFR
AGPAT2,PHRF1
CDK1,GFAP
PEX1,MED22
IPO7,DEPDC5
GRN,OTX1
EGFR,PIK3R3
SMAD3,ATXN2L
NFKBIE,CLTC
KRT1,GFAP
TDP1,VAMP2
HNF4A,TFB1M
DYNC1H1,PLK4
PLCB1,CCL20
TYR,ARRDC2
ITM2B,SEMA4F
DIAPH1,NAP1L2
FLNB,C1QBP
KLK3,TTR
MIR100,ATM
CLTC,VTI1B
MAP2K6,ALDH7A1
GNB1,HCRT
PCGF3,BCOR
MIR375,TIMM8A
PTHLH,GNG2
PDHA1,HSD17B7
HNF4A,TTC31
SFTPC,SP4
ZNF281,SOX2
VPS26A,CRTAP
PPP2R5D,XPO6
ANKRD44,NOTCH1
GRIN2B,GNB1
CNTNAP1,RHOA
PAN2,RPL5
CPT2,TMEM20
THOC5,SMAD4
SUMO1,LRP4
HSP90AB1,SMC3
CUL3,U2AF2
PEPD,PFKM
DLG4,PDHA1
PRDM7,AQP2
LGALS3,APOB
PSMD8,PSMB8
MEN1,FOXN3
YWHAG,TUBA1A
MYH10,ACTC1
CHEK2,CDC14A
ETFB,AMT
HNF4A,TRIM4
ALB,SERPIND1
CORO1C,CAV1
TAC1,TRIO
TSFM,CYP3A7
SPTLC1,TUBA4A
AAAS,SIP1
NOTCH1,SNW1
PAFAH1B1,CEP152
CSF1,KIT
VAV1,EPOR
THRAP3,DDX3X
RPS27,DNAJC3
PSMA3,RDH14
LPAR3,PROK2
PRKCZ,SRC
CDC34,RAD21
AGAP2,PRLR
HNF1A,NOD1
GLI3,GANAB
HMGA1,CREBBP
ATM,RHEB
TXNL1,UBE3A
GNRHR,F2
CFTR,TJP3
PDGFB,THBS2
GNB1,INSL3
CALCB,MC4R
SEC61A1,MAGT1
CA14,EIF2B2
POMC,S1PR3
BMX,STAT3
FUS,SF3B5
MIR182,MITF
SMAD4,GLI3
HNF4A,DHRS7B
PAX3,GRB2
CASP10,FAS
CUL3,PKM2
SYN1,ERC1
LRP2,TTR
CEP290,IQCB1
LRRK2,YWHAB
PRKCD,INSR
CFTR,FARSA
NSUN2,KIAA1279
RAD9A,CHEK2
TGIF2,SMAD3
E2F2,RB1
BRAF,PRKCE
XCR1,LPAR6
GNAS,PRKAR2A
SMC1A,PDS5B
TTC27,DEPDC5
MSH2,KPNB1
KRT16,FAM113B
POMC,SCT
ISG20L2,SRC
DTNA,SNTA1
CDC14A,PDCD6IP
AKT1,GATA2
FASTKD2,TRAF6
HIST1H1C,ASXL1
HNF4A,F7
CHN1,CDK5
GNB1,GNGT2
CASR,PMCH
CUL3,HP1BP3
PSMB4,PSME2
PROKR1,KISS1R
DYNC1H1,PHB2
SCN1B,SPTBN4
ESR1,SMAD3
PSMD11,PCSK9
ESR1,RPL23A
ESR1,C16orf53
ACTB,MYO1B
SF3B14,SON
WASL,PFN1
UBC,DNM2
ZMYND11,HDAC1
SP7,COL1A1
HIST1H2BL,FOXE3
EXT1,EXTL2
CFTR,CSE1L
SPAST,GJC2
MERTK,PROS1
PITRM1,PDHA1
SLC25A4,VDAC2
CLTC,LGMN
ESR1,BRI3BP
CHM,MAGED4
ESR1,CD86
FGF4,NRAS
GNA11,NTSR2
INS,RPL37A
THRAP3,F7
RRM2B,CLEC3A
SNRPD2,TXNL4A
TSHR,TAAR1
HRAS,RAP1GDS1
NAGLU,HGSNAT
DEGS1,PYGM
HNF4A,SNX22
CASK,SDC2
TPM3,ATP1A1
PSMA1,CUL4B
DAB1,PTPN11
WAS,FNBP1L
CENPH,PDE3A
RABAC1,ATP2A2
PPP2R5D,RPS14
GNB1,PRKCE
EHMT1,MPHOSPH8
SLC44A4,CHAT
WWOX,APBB1
PSMD5,PSMB8
CHEK2,PPP2R2A
SMARCB1,BRCA1
MPV17,MRPS16
ITGB2,RANBP9
RRM2B,ARF3
INS,PAX6
TP53,CCNB1
ATF2,PKD1
C16orf70,ZBTB16
RPL10,NPM1
IQCB1,FH
PEX19,ASPM
LDB3,DICER1
GOLT1B,CHMP4B
IKBKG,SIP1
PBLD,ASL
MRE11A,SYNE1
BMP4,ZFYVE9
HNF4A,EPO
VDR,BRCA1
TP53,C4orf41
PSMA3,STIP1
HNRNPR,BMPR2
PPIB,COL17A1
PPP2R1A,CBS
GCH1,PPA2
BUD31,SON
HSPA8,RB1
EIF2C3,SPTAN1
GRIN2B,RPL7
CHMP4B,OBSCN
COL12A1,COL4A2
GJC2,DDB1
ITGB1,FBN1
LATS1,FOXL2
SETD2,TP53
POLR1A,PRDX4
CASR,CCR3
GAST,GNA11
NR0B1,RORA
INSR,PTPRJ
ASNS,HSPBP1
POLR2E,UPF3B
MIR1282,NAA15
GIP,INSL3
POLR2A,FLNA
CASR,AVPR1A
NOD2,TRIM27
NOLC1,WDR36
EP300,MED23
BAG3,GORASP2
MYH10,GSN
CBS,PARP6
FGF10,FGF17
TRIP11,MLEC
LRRK2,LIMA1
KCNA5,PRKCQ
TUSC2,LRBA
RANBP2,HDAC8
SMAD3,NCOA3
CUL3,RPL23
PRPF4,SNRPA
XCL1,TRIO
DDB2,EP300
ZACN,MFSD8
CAND1,NONO
DYNC1H1,CSNK1E
USP9X,PHB
TACR3,OPN4
CHM,POLA1
CLTC,QARS
GDI2,SOD1
CACNA1I,GJC2
SMPDL3A,APOA1
IKBKG,MCM10
RAF1,HSPA8
APOE,NPHS1
CHMP2B,CHMP4B
ADORA2A,TSHR
PAX8,TERT
YWHAQ,MYL3
GJB2,GJB3
TAF11,LZTR1
IGF1R,SNAP29
HNF4A,FKBP10
GNB1,OR4D11
PHGDH,IRX4
EP300,PPARD
COL5A1,COL11A2
WNT4,ITPA
LPIN1,AGPAT2
FTL,DNAJC6
SUPT4H1,PNPLA6
HSP90AA5P,OPA1
WDR1,PCBD1
PRDX1,PDHA1
FADS3,BEST1
AGA,ZER1
MAPK8IP3,RAF1
IQCB1,SVOPL
LDLR,SREBF2
TECR,ZMPSTE24
RAD21,SYCE1
LPL,UBE2Z
MYBPC3,TPM4
TPM3,TNNI2
CLCA2,CFB
CASP10,IKBKG
ATP2A2,IRS2
TUBA1B,SNCA
CUL3,HNRNPD
STAMBP,CLTC
COL9A1,COL11A2
RYR2,VCP
ITGB2,YWHAB
APC2,CDC16
SIRT1,PRNP
PLD1,ACTA1
NFKB2,NFKB2
ATP5B,ATP6V1B2
LEP,NCOA1
FGB,ITGB3
CLTC,EIF1AY
CLTC,SLC35B2
SLC40A1,PRKCZ
NONO,SMARCB1
DCAF11,LRBA
SHOC2,IMPACT
CLTC,DAB2
EDN3,GNA11
RNF113A,FOXO1
CHMP4B,SOAT1
FER,CTNNB1
PPP2R5D,IDH1
TOR1A,CNIH4
ESR1,NCCRP1
RPS18,TCIRG1
PRKACA,SRC
BCS1L,MRPL10
SFRS18,APC
ABCB4,NCOA6
CALML3,PHGDH
GRK5,EFTUD2
PSMB9,PSMD3
DNAJC11,BCOR
SMARCD1,APOA5
PPARG,ESR2
GNB1,OR8A1
P2RY2,ITGB3
FOXA3,ALX4
DCPS,SYNE1
RPL5,RPS10P5
AKT1,CREBBP
MIR17,BMPR2
PPP1R15A,SMARCB1
KIAA1279,SPG7
NOTCH1,PPP2R2A
KPNB1,SMAD4
PDX1,PAX6
TGFBR2,CDC42
AGA,LOC100510688
PSEN2,METTL2A
RIC3,ATP2A2
SKP1,APC
HNRPDL,ATP6V1B1
BBC3,ATM
RARA,ZBTB16
COL6A3,MMP11
CREBBP,MED22
KCNJ11,PRKACB
MYO5B,MAT2A
CTNNB1,HDAC7
RLF,APOC3
RUNX1,MZF1
ESR1,RAB1A
SOS1,OCRL
MAP1LC3B,OPTN
MIR29A,TGFB3
HIF1A,CREBBP
ABCA1,ABCA4
HNF4A,APOB
NCSTN,RPP38
LIG4,DGUOK
TERF2,CHD7
KRT8,KRT40
GCH1,GNL2
CDH16,CRYAB
ESR1,RPS4X
GRAP2,ATM
HNF4A,CLTCL1
HAX1,DPP6
TCF4,TCF3
BTK,KRT5
ADD3,MEGF11
SLC2A2,HK2
PFKP,PCSK9
LHCGR,VIPR2
SCNN1B,ANK3
EP300,ELK1
KCND3,XRCC6
SAMM50,SURF1
CIITA,MIA-RAB4B
ESR1,PIK3R2
KCNMA1,HSPD1
ESR1,TBL1XR1
PIK3CA,KITLG
BRAF,CRK
CCT6B,CYP27A1
CAV1,PPP2R1B
IDH3B,NDUFB3
NOTCH3,RBPJ
RANBP2,GCK
HSD17B10,TGDS
TAF1,AP4B1
L1CAM,SH3GL2
ESR1,SRC
ZIC1,RCAN1
PPAT,CBS
PYGM,TMF1
BMPR1B,SH3KBP1
SIGLEC6,LEP
TBC1D4,NFAT5
GTPBP3,PNPLA6
EDNRA,P2RY2
TINF2,SYNE1
PYCR2,RELA
NOTCH1,USP15
NMBR,PLCB1
CHRM5,KISS1R
ATP2A2,VTI1B
HSP90AA1,SPTAN1
BCR,ERCC3
SMAD3,PLAG1
BMPR1A,GAPDH
IFNA21,PTPN11
SAE1,CTSC
KCNMA1,ATP5A1
EMD,CNN3
ENPP6,LMF1
NOTCH1,TUBA3D
KDM2B,BCOR
ITGB2,MAPK8IP1
SLC2A9,TKT
