IRAK4,HIST1H1B
ARHGDIA,STARD8
RPL10,NOP2
SPAST,WDR75
CTNNB1,FHIT
RPS19,TXNDC11
LMO2,PRKG1
MYL3,TPM2
ADRA2A,CASR
GRPR,PROK2
CFTR,DAB2
CARD8,FLNA
RPS27,RPL10
HNRNPR,NCSTN
GRN,FAM131C
MIR221,ESR1
DMD,ST13
HNF4A,TCF12
LRRK2,YWHAQ
KLK3,APOC3
HTT,CTNNB1
PAX9,TLE1
ATF2,SMAD3
ERCC3,TAF1C
CXCR1,PLCB1
KRT1,LMNA
FN1,C3
CDKN2A,GGA3
CAV3,SLC22A11
HNF4A,PNKP
INSR,CALM2
ZNF232,KCNMA1
PLCB1,TAC1
GABRA1,GABRB3
LGALS3,KRAS
GALT,PYGL
EIF6,WFS1
CERK,ALDH18A1
CABP1,CACNA1C
PPARD,SRC
HSPA8,NFKB2
EIF4A2,SMAD2
SOD1,CRIP1
SART1,IFIH1
ARG1,EIF5A2
WDR4,GCK
ZNF768,ALDH18A1
MAX,VCP
RPL10,RPS8
SCN2B,EXOC1
VCL,DAG1
GNB1,UTS2R
FOXO3,BRCA1
VAPB,SLC26A2
TCF4,LGALS14
SMAD3,HNRNPK
MC2R,AVP
SQSTM1,RRAGC
IKBKG,MYH9
ACTB,LGALS1
TNFAIP3,LAMP1
COL6A3,MMP12
MTHFD1,RPL13A
ATM,CFD
RPS19,EIF3A
HNF4A,DEPDC5
DPH2,HSPA9
NEDD1,FBXL4
TP53RK,SARS2
PLK4,AAAS
CUL3,ATXN2
NCSTN,SRPRB
EEF1A2,PKLR
SRRT,SYN1
BMPR1A,CCDC115
UBC,GNAT1
EIF5B,RPL10
KCNH1,CALM1
DYRK1A,LIN9
FGFR3,ILKAP
STXBP2,UGT2B28
GATA6,KPNA3
ERCC6,PMM2
EXOC5,CTSA
EGFR,VEGFA
DBP,CDKN2A
RBM28,SNORA56
ELAVL1,ATM
GPR109B,MTNR1B
SLC4A1,CAPZB
EIF2S2,FOXG1
HNF4A,PAQR5
CDKN2A,SP1
SMCHD1,MAP2K7
ILF3,MFF
IQCB1,YBX1
C3,GNAZ
GRIN2A,GRIA3
GRIA3,NEFL
NFKBIA,C19orf29
HLA-DPA1,DAG1
DIAPH1,ARPC2
CASR,CCL25
BRP44,PKLR
CUL3,ELAVL2
RPLP0,SPTAN1
CUL3,ADAR
GNRH1,PROKR2
CLN3,TELO2
MIR212,PTCH1
BRCA1,PPP2R5C
APOB,P4HB
INS,IGF1R
SMAD2,HOXA9
LRRK2,HSPA9
RAD51C,RAD51D
RBM28,FTSJ3
GNA11,DGKQ
SNORD19B,CHEK2
MCM4,RAD21
RAF1,YWHAH
SQSTM1,RELN
RRM2B,RTN3
MCM7,EP300
TUBGCP4,LZTR1
UBE2I,BARD1
SDF4,ABCB7
LUC7L2,FTL
PRKACA,CACNB2
CHEK2,CDC25A
PFKFB2,PDE4D
LYN,SOS1
PSMD1,PSMB8
TP63,DDR1
NSUN2,MTFMT
LMNB1,SYNE1
IL10RA,JAK1
CAMK2G,STAT1
NCSTN,DAG1
TXNL4A,CSTF3
RPL10,KAT6A;MYST3
LPAR6,CAV1
CASP1,NLRC4
ATP2C1,PMM2
GRB2,FTL
GORASP1,SLC25A4
TKT,PHGDH
COX7A2L,UCP3
ASNS,PBLD
RPS29,RPL10
BTC,PSEN1
DYNC1H1,PI4KA
CNOT1,KRT14
EIF4G1,TSC1
APOE,IFIT5
BMPR1A,ATP1A1
GNB1,GPR18
AP4E1,IGHG1
CUL3,PDCD6IP
SMC3,AHCTF1
NPHS1,KIRREL3
E2F4,SRC
GNRHR,PROKR2
TAF6,SMARCB1
UBR4,RB1
TCF19,LZTR1
CDH1,FGFR1
CNOT6,RPL10
BARD1,BCL3
CUL4B,SNRNP70
CREBBP,MED15
CDC42,DIAPH1
LHCGR,MC4R
SCN2B,EXOC5
PROS1,VKORC1
RAD21,SMARCA5
SRXN1,USP9X
IPO8,PYCR2
RB1,TP53
HK1,LIG4
NFKBIA,POM121
SRC,RPL10
IDH3G,AGPAT2
RPL10,ZNF598
RPL19,STAT3
RNF113A,SNRNP200
IKBKG,MAP2K3
MDM2,MYD88
LHCGR,VIPR1
SORBS3,SCN5A
HDAC6,DBT
DHX38,CLTC
INS,CACNA1C
KCNQ3,SPTBN2
PLD2,RHO
CDKN2A,HSPA8
ATF2,CREBBP
PFN1,DLG5
RUNX2,SMAD1
ACTN2,ACTB
CAPN1,NIT1
CALM1,KCNQ2
CDC73,BCL9L
CETP,EWSR1
USP13,GPD1L
EGFR,PIGS
SUPT16H,RBM28
ING2,SMAD2
BMPR2,SMAD6
CUL4B,DTL
HNF4A,GTF2B
IRS1,ALK
BRCA1,MYH6
F12,VWF
CHEK2,SARS
SLC2A2,POLE
SIRT1,KRAS
HSPA1A,TP53
TRMT1,TXNDC5
GOLT1B,CLCN7
FOXG1,HOXC9
MME,NDUFB4
HNF4A,HNF1B
SMAD4,NAP1L4
KCND3,DDB1
CEP290,MRPS17
ADORA1,MTNR1B
ANKRD1,CARM1
ELAVL1,CHEK2
POT1,AVL9
GNB1,NPFF
NPHS1,GABBR1
AAAS,GCK
ADAM10,JAG1
BARD1,TMEM248
MLH1,SEC61A1
SDHC,SDHA
KCNMA1,MAP1A
SMARCE1,CHAF1A
ACPP,APOA1
FUS,BCAR3
PRKG1,GNB2L1
CLTC,ATP1A3
PMS2,FAN1
BRCA1,GUSBP1
CXCR4,CXCR1
BRCA1,KIAA0101
AIRE,UBAC1
TUBGCP3,CEP290
PSMA3,RBBP5
RPS19,RPL13
ACACB,MTHFD1
COL4A4,COL4A5
CDC14A,VAPA
HNRNPL,DDX3X
PYGM,PPA2
CYP2A6,POR
TRIM2,UBE2D3
PDE4D,PDE7A
HMGB1,HOXB1
GLI3,TNFRSF10A
BMX,STAT1
NFKB2,PSMD11
IKBKG,NPAT
DHH,HHAT
TXNL4A,HNRNPU
NONO,SPI1
ITGB4,PTK2
GABARAPL2,CTSA
RBCK1,PIK3R1
FBL,SLC25A4
NCK2,DIAPH1
POT1,AMPD2
HRAS,INSR
POLH,C1orf124
STXBP2,MRPL4
GNPAT,PTS
CREBBP,TAT
FUT9,LMF1
VPS35,USP48
GSK3A,GLI3
GJA1,LIN7A
PSMD2,ZBTB16
BMPR1A,RAB7A
SMARCE1,IKZF1
ATR,POLN
LRRK2,MAPT
NDUFS8,RAB1A
CIRBP,PSPH
SMARCE1,TOP2B
SRSF9,UPF3B
PEA15,RPS6KA3
PXDNL,SPTAN1
NOTCH2,PDIA6
RCL1,VCP
PHGDH,MYL6
VPS25,YAP1
RYK,NKX2-5
SMC1A,SPC25
GNA13,CTNNB1
NODAL,SMAD4
KCNJ10,SEC23B
CREBBP,JMY
LIG4,ALMS1
MYH10,NAA11
CUL4B,FAM103A1
GABARAPL1,SPTAN1
BCAR1,VWF
SACS,RANBP2
BCAR1,FGB
SRC,SH2B2
MLH1,GRPEL1
HNF4A,SKI
MYH7,MYO5B
GNA12,TBXA2R
CSF2,PIK3CD
RPS6KA3,SLC9A3R1
PBLD,GCH1
CHEK2,LOC440926
CTSA,AURKC
FLNA,SSFA2
POLR1A,HIST1H3F
ATP2C1,CDIPT
ATP6V1E2,ATP6V0A2
PPARG,MED15
TSHR,GLP1R
APOA1,CFHR1
LMO1,TCF4
RPS3,DNAJC3
RPS25,EIF2B2
DSN1,HDAC8
ITGB2,SYK
MAD2L1,SMAD2
PALB2,HPX
PALB2,PLAG1
APOB,CBLB
DLG4,ATP6V1B2
IKBKG,FRMD8
NSUN2,HARS
ZEB2,RBBP4
TDGF1,CER1
TAGLN2,PTEN
MT2A,STAT1
FGFR3,FGF18
TUBB4A,TUBA3E
LBR,CBX1
TBP,PAX3
BCL7C,SMARCE1
ARHGDIA,ARHGAP28
NOTCH1,RNF2
HDAC3,SMARCB1
AP1S2,SYNRG
